epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.6621,1.74766,5.09871,0.61916,1.84221,1.2955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.001,0.001
2,9.27617,1.68725,4.32225,0.45536,1.3712,1.32976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810931,0.00209307,0.00209307
3,13.1002,1.87247,4.28996,0.40031,1.1638,1.35658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711789,0.00317888,0.00317888
4,16.9788,2.12962,4.28565,0.34336,1.32362,1.47679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612574,0.00425743,0.00425743
5,20.3656,2.05248,4.16844,0.33929,1.61101,1.46915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513287,0.00532872,0.00532872
6,23.734,2.13385,4.15401,0.31827,2.12181,1.44086,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413928,0.00639275,0.00639275
7,27.1296,2.4018,4.07866,0.31836,2.19169,1.65338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314495,0.00744952,0.00744952
8,30.5366,2.53533,4.0065,0.28966,1.79816,1.66469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021499,0.00849903,0.00849903
9,33.9332,2.41598,3.90104,0.29585,1.82094,1.57951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115413,0.00954128,0.00954128
10,37.3933,2.42107,4.17274,0.26246,1.70737,1.60568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
11,41.9916,2.44742,4.23033,0.27867,1.69736,1.67181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
12,46.0349,2.21238,4.04268,0.27658,1.5919,1.55184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009637,0.009637,0.009637
13,49.9287,2.15782,4.02093,0.29322,1.49818,1.52498,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
14,53.869,2.16562,3.95265,0.28772,1.44741,1.47232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009571,0.009571,0.009571
15,57.3404,2.24682,4.03657,0.26601,1.53301,1.66582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009538,0.009538,0.009538
